Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-09-06,6257,6263,6146,6248,6248,576000,235
2023-09-07,6220,6240,6169,6203,6203,503900,236
2023-09-08,6144,6188,6061,6112,6112,827400,237
2023-09-11,6148,6165,6021,6067,6067,495100,238
2023-09-12,6100,6144,6048,6105,6105,563200,239
2023-09-13,6065,6105,5808,5808,5808,1467900,240
2023-09-14,5855,5918,5737,5823,5823,1846700,241
2023-09-15,5824,5852,5551,5639,5639,2922000,242
2023-09-19,5565,5651,5515,5637,5637,1756200,243
2023-09-20,5540,5566,5371,5378,5378,2361200,244
2023-09-21,5310,5331,5191,5234,5234,2014000,245
2023-09-22,5229,5404,5210,5273,5273,1761900,246
